PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
1018,20180704,2018-07-03T21:23:39.089Z,4,Dagli'Brugsen,8330,1018,Dagli'Brugsen Smidstrup Strand,Smidstrup Strandvej 65,GILLELEJE,3250,false,48318074,26259495,2018-07-04T00:00:00.000Z,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00
1019,20000101,2017-08-11T12:23:55.302Z,4,Dagli'Brugsen,3045,1019,Dagli'Brugsen Uldum,I P Hansens Vej 16,ULDUM,7171,true,75678014,26259495,2000-01-01T00:00:00.000Z,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00
103,20000101,2017-08-11T12:23:39.526Z,3,SuperBrugsen,8102,103,FDB Møbler Gilleleje,Peter Fjelstrups Vej 4,GILLELEJE,3250,false,26338022,17510614,2000-01-01T00:00:00.000Z,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,08:00,16:00,Lukket,Lukket
"104,20000101,2017-08-11T12:23:43.700Z,2,Kvickly,3910,104,Kvickly Esbjerg Broen,""Exnersgade 18, 1 Ste 29"",ESBJERG,6700,true,76784200,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00"
"104,20180820,2018-08-20T08:23:37.669Z,2,Kvickly,3910,104,Kvickly Esbjerg Broen,""Exnersgade 18, 1 Ste 29"",ESBJERG,6700,true,76784200,26259495,2018-08-20T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00"
105,20000101,2017-08-11T12:24:03.030Z,2,Kvickly,6575,105,FDB Møbler Strib,Sofiendalvej 10 C,MIDDELFART,5500,true,64415119,38425919,2000-01-01T00:00:00.000Z,09:30,17:30,09:30,17:30,09:30,19:00,09:30,17:30,09:30,17:30,09:30,15:00,Lukket,Lukket
106,20000101,2017-08-11T12:23:39.587Z,3,SuperBrugsen,8299,106,SuperBrugsen Slangerup,Københavnsvej 5,SLANGERUP,3550,true,47339494,29103119,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,18:00,08:00,18:00
107,20000101,2017-08-11T12:23:36.373Z,3,SuperBrugsen,2570,107,SuperBrugsen Nr. Snede,Strøget 2,NØRRE-SNEDE,8766,true,75771004,39548313,2000-01-01T00:00:00.000Z,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,08:00,20:00
"108,20000101,2017-08-11T12:23:58.145Z,2,Kvickly,1960,108,""Kvickly Spinderiet, Valby"",Valby Torvegade 13,VALBY,2500,true,36143300,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00"
"108,20180817,2018-08-17T10:23:38.396Z,2,Kvickly,1960,108,""Kvickly Spinderiet, Valby"",Valby Torvegade 13,VALBY,2500,true,36143300,26259495,2018-08-17T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00"
